date,invoice_no,product_ids,amount,customer_id
2025-04-04,1,"564485,308799",778.0,25488
2024-10-04,2,"1009733,872902,61856,984226",5222.0,57536
2024-11-22,3,498216,16185.78,3147
2025-07-30,4,227175,21824.0,67465
2024-11-15,5,"967938,347602",1048.0,94168
2025-07-01,6,439530,11750.0,36895
2024-03-04,7,"105112,242443,774525",22022.0,88827
2025-02-11,8,"415132,318605,1056203,663168",1602.0,48679
2024-11-04,9,706637,1799.0,98158
2023-11-07,10,"153426,405018",3600.0,45350
2023-09-24,11,362978,1757.0,65770
2024-12-11,12,624576,24300.0,84937
2025-05-28,13,"1062062,5079,1062809,193182,430997",5336.0,77738
2024-03-13,14,"435351,1077028",484.0,67423
2024-05-06,15,"1102906,1083544,764825,1065789",24172.0,26547
2025-07-01,16,"346302,783471,749471",22401.0,92968
2025-05-15,17,"454015,974325,708705,516869",6789.22,99783
2024-03-15,18,443203,249.0,83346
2023-10-05,19,"949314,59111,419207",7669.78,66688
2024-03-19,20,797971,3099.0,45905
2024-11-18,21,"423848,768652",1418.0,41767
2025-05-20,22,"624437,337518,649145,279128,867300",4082.0,21915
2024-12-13,23,"469210,755629,715493",20195.0,83253
2024-09-23,24,"972407,1018244,1068490,826461,635450",6276.0,78644
2023-12-31,25,"320722,712107",4478.0,81736
2023-11-12,26,652080,1710.0,80056
2025-05-25,27,"984363,344223,564438,980697,167707",5324.55,83745
2025-03-22,28,"385233,405701,1027154,787923",5549.0,31049
2025-05-14,29,898677,1449.0,18873
2024-08-31,30,"355819,1019909,912878,802215",3017.48,54799
2024-12-30,31,81057,532.0,23255
2024-01-15,32,"128523,268445,328598",2529.28,96692
2025-01-22,33,"212632,1056894,319230,370415",6262.0,87791
2024-12-07,34,"1062069,938922,1057986,214437,360102",12450.0,46757
2023-10-22,35,"112898,72554",894.0,84031
2025-07-31,36,814479,1249.0,17866
2025-02-17,37,"810267,636780,480341,1025453,733437",31110.93,87534
2025-05-15,38,"284223,749713,350582,50204",17355.99,56856
2024-01-08,39,942084,699.0,77455
2025-04-07,40,"790104,746808,649127,462920,1007727",16490.0,53673
2024-06-17,41,213851,2999.0,86237
2023-10-18,42,"1007058,707365,586722,405148",4306.0,90867
2023-12-07,43,"215877,846448",1971.82,88917
2024-10-04,44,"77353,769023,41685",4796.0,68438
2025-01-18,45,"601950,268327,477602,156639",5399.0,90323
2023-12-04,46,"85546,806577,262740,804212",10345.0,70486
2024-11-24,47,507222,899.0,47118
2023-09-21,48,"882935,680240,762005,886099,1064464",24635.0,90118
2025-02-08,49,"302229,619367,658394,35398,465353",15858.0,44245
2025-03-31,50,"939303,404243,276809,370143,481330",10381.0,12715
2024-08-26,51,"657351,351584",1698.0,23975
2023-11-15,52,"514679,310465,565883,477883",3103.0,80373
2025-06-16,53,725061,2390.0,59414
2025-04-08,54,"1045377,257815",1398.0,92191
2024-04-24,55,618782,199.0,24489
2024-10-18,56,"932645,61054,654855,896315,267427",7825.0,29188
2024-03-14,57,"1002634,274404,826640,1099925",3209.0,44554
2024-11-25,58,"425789,5135,458521",1577.0,13349
2024-07-02,59,394182,449.0,74958
2025-01-27,60,"758033,797063,853947,183374",45947.0,6663
2023-10-04,61,"74889,135588",2375.0,72313
2025-07-29,62,1024367,24293.97,12927
